sentence	label
차인표 연기는 너무 현실적이여서 마음에 와닿는다 왕초드라마를볼때도 난 연기를하는건지 진짜 실제로 그러는건지 몰랐다 이영화 내용이 쥐어짜는스토리지만 차인표라는 배우때문에 영화가살았다 너무 현실적인 연기력이다 대단하다 눈물한방울 흘리지않았지만 마음이아팠다	연기력
이렇게 못 만들기가 더 어렵겠다. 초딩 학예회급 연기력을 선보인 이요원은 모구 게다가 황정민 딸로 나온 아주머니는 모냐? 감독이나 제작진은 몰보구 캐스팅들을한 거냐? 한심한 영화네... 네이버두 별점 0개 할 수 있게 해주세요	연기력
권선징악이라는 진부한 스토리..하지만 드라마 중반부까진 10점 주어도 괜찮을듯한 연출 스토리 연기력. 후반부 갈수록 누구나 예상가능한 권선징악결론이겠지만 왜인지..예상못할 훌륭한 반전 하나정도 나오지 않을까하는 개인적인생각입니다. 암튼 난 꿀잼ㅋㅋ	연기력
최고의 연기력과 기획 이영애 최고~!	연기력
로버트드니로의 소름끼치는 연기력이 압권이었음	연기력
김지영(인호엄마)님의 연기력 캬!	연기력
이 영화는 모든 중, 고등학교에서 국사 시간에 의무적으로 꼭 봐야 하는 영화입니다 6.25의 비극적이고 참혹함을 이보다 더 잘 표현한 영화는 없습니다 고수를 비롯한 배우들의 미친 연기력도 볼 만 합니다	연기력
연출,편집,연기력,반전......모든게 완벽하다 프리즌브레이크 본후로 미드에 빠짐	연기력
연기력 솔직히 최고아냐? 글고 문근영 이뽀...	연기력
스토리, 분위기, 연기력 여태껏 봐 왔던 영화중에 개인적으로 최악중에 꼽히는 영화.단, 최민수 형님 연기력은 제외.. 형 본것만으로도 만족합니다;	연기력
빈센트의 그 외롭고 갸냘픈 시선 연기력만 볼만한 영화	연기력
꼭 생각해 봐야 할 점을 건조하고 현실적이게 잘 담아냈다. 연기력도 좋고.	연기력
추천에 추천을 걸쳐 보았던 드라마이다.드라마나 영화를 보고 내가 운경우는 극히 드물었다 그런데 이 드라마는 뭔가 뭉클 하는게 있었고 또 작품성 또한 좋았고 배우들의 연기력도 좋았고 인기의 한목했다고 생각한다	연기력
영화의 몰입도를 넘어서는 소설을 그대로 옮겨 놓은듯한 연출력과 연기력...훌륭하다.	연기력
형편없는 대본+연기력+편집 = 뚝뚝끊어지는 이야기 흐름.. 대책없다. 박창진 감독 이름석자 꼭 기억하마!	연기력
신인작가가 쓴 단막극장 정도 스토리에 배우들은 다 하급이고 연기력도 하류	연기력
와...스토리 연기력 진짜 쩐다...이것이 영화지	연기력
재밌게 봤습니다송강호씨 연기력이 인상 깊네요	연기력
스토리 쓰레기, 연기력 쓰레기, 브루스 10분 나오고..보면서 짜증 제대로	연기력
나중에서야 보게 된 영화.. 안봤으면 어쩔 뻔 했는지 ..정말재미있고 리암니슨의 연기력은 최고였다	연기력
에르몬넬라 야호의 연기력이 돋보였던 오페라. 몰입이 너무 잘됐어요.	연기력
정말 질 떨어지네요. 특히 연기력은 완전 아마추어 수준이네요. 반성하세요 제작진들	연기력
영화가 왜 망한줄 알겠다...취지는 좋았으나 남자주연의 연기력보다 답답한전개가 보는사람을 짜증나게한다.	연기력
1점도 아깝다. 감독 뭘 배우고 영화를 찍은건지. 영화인으로써 참 부끄럽다. 연기력은 보고 캐스트 한건지 참. 뭐 트리트먼트 가져다 영화 찍어도 이것보단 잘나오겠네. 1학년 중간고사 작품만도 못나온거 같은데 제작비가 아깝다. 찍지마. 차라리 술마셔.	연기력
황우슬혜는 연기력이 뛰어난 훈녀다.	연기력
연기력은 UFO를 타고 저 멀리...	연기력
뻔하디 뻔한 3류 액션 첩보물. 배우들의 연기력은 너무나도 어색해서 보는 내가 다 민망해지고 거기에 한방씩 맞아주며 쓰러지는 악당들에게 한심함마저 느껴질 정도... 칭찬을 하려해도 할 곳이 없는, 어떤 의미론 정말 굉장한 영화	연기력
와 ㅎㅎ 넘재밌다 ㅎㅎ 우리나라영화는 잘 안보는데,...... 우리나라 로맨틱코미디중에 최고인듯 ㅋㅋㅋㅋ송중기넘 귀엽다 ㅎㅎ 한예슬두이쁘구, 두배우의 연기력이 영화를 더 빛낸듯!	연기력
전혀 기대안하고 봄. 드라마 안보는사람으로서 인터넷에 변요한 가끔뜨길래 얼굴빨로 일개 드라마나 출연하는 전형적인 미남배우인줄 알았는데 이거보고 연기력 인정함; 스토리도 부조리한 사회풍자에 스릴러까지 매우 좋았고 무엇보다 출연배우들 연기력이 지렸던 영화	연기력
진짜 연기력들 죽이네.. 대사도 여러번 보게 될 거 같다..	연기력
이완...연기력에 박수....파생거래를 아는 사람이 봐야만 같이 긴장할수 있는 영화...모르고 본다면 정말 지루할수도..	연기력
179분이라는 엄청난 러닝타임 이지만 전혀 지루하지가 않다.그리고 디카프리오의 미치 연기력.	연기력
사실스토리가아이리스일에비핸덜탄탄하고 빈약하지만배우들의 그소름끼칠정도의 연기력 너무멋지고감동입니다..한가지 왜비극일까요.장혁이어쩔수없는상황도아니였고 왜죽게끔..ㅜ가슴이너무아프네요 눈물이쉴새없이ㅠ배우분들제작진분들정말수고많으셨어요너무재밋엇습니다♥	연기력
연기력, 영상미 굿.	연기력
